"Calculate the mean, median, and mode of 'Age'.",,Age,,,,,,,,
,,Mean,Median,Mode,,,,,,
,,41,41,61,,,,,,
,,,,,,,,,,
Find the standard deviation and variance of 'Salary'.,,Standard deviation and variance of 'Salary,,,,,,,,
,,Standard deviation  ,Average,Variance,,,,,,
,,44418,39087,1972966393,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Compute the skewness and kurtosis of 'Purchase_Count'.,,Skewness and Kurtosis of 'Purchase_Count',,,,,,,,
,,Skewness,Kurtosis,,,,,,,
,,0.049,-1.06,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
What is the correlation between 'Salary' and 'Satisfaction_Score'?,,correlation between 'Salary' and 'Satisfaction_Score,,,,,,,,
,,-0.16,,,,,,,,
,,,,,,,,,,
"Get the summary statistics (count, mean, std, min, 25%, 50%, 75%, max) for every column.",,Count,Count,Mean,Standard Deviation,Min,25%,50%,75%,Max
,,Age,100,40.88,14,18,,,,
,,Salary,100,109321.51,44418,27693,,,,
,,Purchase count,100,24.47,14,1,,,,
,,Satisfaction Score,100,3.14,1.17,1.06,,,,
,,VisitFrequency,100,10,6,1,,,,
,,,,,,,,,,
Plot the histogram of 'Visit_Frequency' and comment on its skewness.,,,,,,,,,,
,,,,,,,,,,
Identify if 'Satisfaction_Score' has any outliers using standard deviation method.,,,,,,,,,,
,,,,,,,,,,
Calculate the coefficient of variation for 'Salary'.,,,,,,,,,,
,,,,,,,,,,
Find the interquartile range (IQR) for 'Purchase_Count'.,,,,,,,,,,
,,,,,,,,,,
Compute the Pearson correlation matrix for the entire dataset.,,,,,,,,,,
,,,,,,,,,,
Calculate the range (max - min) for the 'Age' and 'Salary' columns.,,,,,,,,,,
,,,,,,,,,,
"Determine the percentile ranks for 'Purchase_Count' at 25%, 50%, and 75%.",,,,,,,,,,
,,,,,,,,,,
Find the covariance between 'Salary' and 'Visit_Frequency'.,,,,,,,,,,
,,,,,,,,,,
Check if 'Salary' follows a normal distribution using skewness and kurtosis values.,,,,,,,,,,
,,,,,,,,,,
Calculate the z-scores for 'Satisfaction_Score' and identify any data points beyond ±3.,,,,,,,,,,
